Date,Adj Close,COD_release,Weeks_after_COD,Price_Subtracted,
151,27-09-2010,9.826531,0,46,-0.599116
152,04-10-2010,10.043493,0,47,-0.382154
153,11-10-2010,10.278536,0,48,-0.147111
154,18-10-2010,10.115811,0,49,-0.309836
155,25-10-2010,10.359893,0,50,-0.065754
156,01-11-2010,10.215254,0,51,-0.210393
157,08-11-2010,10.396053,1,0,0
158,15-11-2010,10.558775,0,1,0.162722
159,22-11-2010,10.631097,0,2,0.235044
160,29-11-2010,11.119259,0,3,0.723206
161,06-12-2010,11.065016,0,4,0.668963
162,13-12-2010,10.983657,0,5,0.587604
163,20-12-2010,11.254859,0,6,0.858806
164,27-12-2010,11.245819,0,7,0.849766
165,03-01-2011,10.938457,0,8,0.542404
166,10-01-2011,10.631097,0,9,0.235044
167,17-01-2011,10.170053,0,10,-0.226
168,24-01-2011,10.133891,0,11,-0.262162
169,31-01-2011,10.613015,0,12,0.216962
170,07-02-2011,9.745172,0,13,-0.650881
171,14-02-2011,10.007333,0,14,-0.38872
172,21-02-2011,10.043493,0,15,-0.35256
173,28-02-2011,10.188133,0,16,-0.20792
174,07-03-2011,9.989254,0,17,-0.406799
175,14-03-2011,9.591489,0,18,-0.804564
176,21-03-2011,10.076433,0,19,-0.31962
177,28-03-2011,10.103965,0,20,-0.292088
178,04-04-2011,10.223268,0,21,-0.172785
179,11-04-2011,10.305861,0,22,-0.090192
180,18-04-2011,10.388456,0,23,-0.007597
181,25-04-2011,10.443518,0,24,0.047465
182,02-05-2011,10.498581,0,25,0.102528
183,09-05-2011,10.562819,0,26,0.166766
184,16-05-2011,10.645413,0,27,0.24936
185,23-05-2011,10.507759,0,28,0.111706
186,30-05-2011,10.865664,0,29,0.469611
187,06-06-2011,10.516933,0,30,0.12088
188,13-06-2011,9.975487,0,31,-0.420566
189,20-06-2011,10.360924,0,32,-0.035129
190,27-06-2011,10.865664,0,33,0.469611
191,04-07-2011,11.076735,0,34,0.680682
192,11-07-2011,10.929902,0,35,0.533849
193,18-07-2011,11.00332,0,36,0.607267
194,25-07-2011,10.865664,0,37,0.469611
195,01-08-2011,10.489403,0,38,0.09335
196,08-08-2011,9.828654,0,39,-0.567399
197,15-08-2011,9.791946,0,40,-0.604107
198,22-08-2011,10.351748,0,41,-0.044305
199,29-08-2011,10.397633,0,42,0.00158
200,05-09-2011,10.480225,0,43,0.084172
201,12-09-2011,11.140979,0,44,0.744926
202,19-09-2011,10.755538,0,45,0.359485
203,26-09-2011,10.920725,0,46,0.524672
204,03-10-2011,11.489704,0,47,1.093651
205,10-10-2011,11.856788,0,48,1.460735
206,17-10-2011,12.379881,0,49,1.983828
207,24-10-2011,12.352352,0,50,1.956299
208,31-10-2011,12.444121,0,51,2.048068
209,07-11-2011,11.66407,1,0,0
210,14-11-2011,11.058384,0,1,-0.605686
211,21-11-2011,10.783068,0,2,-0.881002
212,28-11-2011,11.260279,0,3,-0.403791
213,05-12-2011,11.232745,0,4,-0.431325
214,12-12-2011,10.902371,0,5,-0.761699
215,19-12-2011,11.196038,0,6,-0.468032
216,26-12-2011,11.306164,0,7,-0.357906
217,02-01-2012,11.232745,0,8,-0.431325
218,09-01-2012,11.232745,0,9,-0.431325
219,16-01-2012,11.214395,0,10,-0.449675
220,23-01-2012,11.150152,0,11,-0.513918
221,30-01-2012,11.269454,0,12,-0.394616
222,06-02-2012,11.315339,0,13,-0.348731
223,13-02-2012,11.223569,0,14,-0.440501
224,20-02-2012,11.122622,0,15,-0.541448
225,27-02-2012,10.709654,0,16,-0.954416
226,05-03-2012,10.929902,0,17,-0.734168
227,12-03-2012,11.609006,0,18,-0.055064
228,19-03-2012,11.66407,0,19,0
229,26-03-2012,11.93484,0,20,0.27077
230,02-04-2012,11.813817,0,21,0.149747
231,09-04-2012,11.562459,0,22,-0.101611
232,16-04-2012,11.357649,0,23,-0.306421
233,23-04-2012,11.944151,0,24,0.280081
234,30-04-2012,11.506601,0,25,-0.157469
235,07-05-2012,11.776578,0,26,0.112508
236,14-05-2012,11.143529,0,27,-0.520541
237,21-05-2012,11.394887,0,28,-0.269183
238,28-05-2012,10.845624,0,29,-0.818446
239,04-06-2012,11.013196,0,30,-0.650874
240,11-06-2012,10.650123,0,31,-1.013947
241,18-06-2012,10.975957,0,32,-0.688113
242,25-06-2012,11.162148,0,33,-0.501922
243,02-07-2012,11.208696,0,34,-0.455374
244,09-07-2012,11.264553,0,35,-0.399517
245,16-07-2012,11.180768,0,36,-0.483302
246,23-07-2012,11.15284,0,37,-0.51123
247,30-07-2012,10.352217,0,38,-1.311853
248,06-08-2012,10.836314,0,39,-0.827756
249,13-08-2012,11.264553,0,40,-0.399517
250,20-08-2012,10.93872,0,41,-0.72535
251,27-08-2012,10.94803,0,42,-0.71604
252,03-09-2012,11.190077,0,43,-0.473993
253,10-09-2012,11.273863,0,44,-0.390207
254,17-09-2012,11.245934,0,45,-0.418136
255,24-09-2012,10.501171,0,46,-1.162899
256,01-10-2012,10.51979,0,47,-1.14428
257,08-10-2012,10.389456,0,48,-1.274614
258,15-10-2012,10.408074,0,49,-1.255996
259,22-10-2012,10.045003,0,50,-1.619067
260,29-10-2012,10.389456,0,51,-1.274614
261,05-11-2012,9.923979,0,52,-1.740091
262,12-11-2012,10.287052,1,0,0
263,19-11-2012,10.463932,0,1,0.17688
